ssoc_code,title,major_group,major_group_label,estimated_employment,data_quality
83120,Railway braker and related worker,8,Plant and Machine Operators and Assemblers,36686,two_digit_distributed_wage_weighted
83212,Delivery worker using motorised personal mobility aids/devices,8,Plant and Machine Operators and Assemblers,13991,two_digit_distributed_wage_weighted
83229,Car/Taxi/Van/Light goods vehicle driver n.e.c.,8,Plant and Machine Operators and Assemblers,6,two_digit_distributed_varied
83312,Tram driver,8,Plant and Machine Operators and Assemblers,13637,two_digit_distributed_wage_weighted
83329,Heavy truck/Lorry driver n.e.c.,8,Plant and Machine Operators and Assemblers,160,two_digit_distributed_varied
83429,Earth moving and related machinery operator n.e.c.,8,Plant and Machine Operators and Assemblers,82,two_digit_distributed_varied
83439,Crane/Hoist and related equipment operator n.e.c.,8,Plant and Machine Operators and Assemblers,274,two_digit_distributed_varied
83449,Lifting truck operator n.e.c.,8,Plant and Machine Operators and Assemblers,13914,two_digit_distributed_wage_weighted
83499,Other mobile machinery operator n.e.c.,8,Plant and Machine Operators and Assemblers,82,two_digit_distributed_varied
83509,Ship’s deck crew and related worker n.e.c.,8,Plant and Machine Operators and Assemblers,31,two_digit_distributed_varied
91000,Cleaning supervisor,9,Elementary Occupations,12323,two_digit_distributed_wage_weighted
91129,Cleaner/Helper in hotel and related establishment n.e.c.,9,Elementary Occupations,127,two_digit_distributed_varied
91133,Office/Commercial/Industrial establishment multi-skilled cleaner cum machine,9,Elementary Occupations,10374,two_digit_distributed_wage_weighted
91154,Food and beverage establishment multi-skilled cleaner cum machine operator,9,Elementary Occupations,10528,two_digit_distributed_wage_weighted
91162,Residential/Open areas multi-skilled cleaner cum machine operator,9,Elementary Occupations,9948,two_digit_distributed_wage_weighted
91210,Hand launderer/presser (non-household),9,Elementary Occupations,9632,two_digit_distributed_wage_weighted
91220,Motor vehicle cleaner/polisher,9,Elementary Occupations,9948,two_digit_distributed_wage_weighted
91230,Window cleaner,9,Elementary Occupations,10440,two_digit_distributed_wage_weighted
91299,Other cleaning worker n.e.c.,9,Elementary Occupations,99,two_digit_distributed_varied
91300,Domestic helper/cleaner,9,Elementary Occupations,80,two_digit_distributed_varied
92149,Park/Garden/Landscape maintenance worker n.e.c.,9,Elementary Occupations,72,one_digit_distributed_sparse
92190,Agricultural/Fishery and related labourer n.e.c.,9,Elementary Occupations,13,one_digit_distributed_sparse
93100,Civil engineering/Building construction labourer,9,Elementary Occupations,28869,two_digit_distributed_wage_weighted
93209,Manufacturing labourer and related worker n.e.c.,9,Elementary Occupations,444,two_digit_distributed_varied
93310,Hand/Pedal vehicle driver,9,Elementary Occupations,369,two_digit_distributed_varied
93332,Railway/Road vehicle loader,9,Elementary Occupations,116,two_digit_distributed_varied
93339,Material/Freight handling worker n.e.c.,9,Elementary Occupations,102,two_digit_distributed_varied
94104,"Tea server/steward (excluding bartender, barista and food/drink stall assistant)",9,Elementary Occupations,5651,one_digit_distributed_sparse_wage_weighted
96000,Waste collection/recycling/material recovery supervisor,9,Elementary Occupations,45,two_digit_distributed_varied
96109,Waste collection/recycling/material recovery worker n.e.c.,9,Elementary Occupations,14,two_digit_distributed_varied
96213,Porter (excluding hotel),9,Elementary Occupations,4431,two_digit_distributed_wage_weighted
96252,Laboratory attendant,9,Elementary Occupations,5983,two_digit_distributed_wage_weighted
96259,Attendant n.e.c.,9,Elementary Occupations,29,two_digit_distributed_varied
96269,Building caretaker and related worker n.e.c.,9,Elementary Occupations,5983,two_digit_distributed_wage_weighted
96272,Concierge (hotel),9,Elementary Occupations,5958,two_digit_distributed_wage_weighted
96299,Other elementary worker n.e.c.,9,Elementary Occupations,257,two_digit_distributed_varied
