ssoc_code,occupation_title,matched_ssoc_title,ssoc_2020_code,median_monthly_wage,median_annual_wage,match_confidence
43229,Production planning clerk,Production clerk n.e.c.,43222,3329.0,39948.0,0.75
44110,Library clerk,Library clerk,44110,2390.0,28680.0,1.0
44121,Train service supervisor,Postal service supervisor,31572,2132.0,25584.0,0.8163265306122449
44170,Legal clerk,Legal clerk,44170,3639.0,43668.0,1.0
51112,Cabin attendant/steward,Cabin attendant/steward,51112,3351.0,40212.0,1.0
51132,Attractions guide,Attractions guide,51132,2040.0,24480.0,1.0
51322,Barista,Barista,51322,2182.0,26184.0,1.0
51702,Bookmaker/Croupier/Casino dealer and related gaming worker,Bookmaker/Croupier/Casino dealer and related gaming worker,51702,2417.0,29004.0,1.0
51950,Driving instructor/tester,Driving instructor/tester,51950,2755.0,33060.0,1.0
52202,Shop sales assistant,Shop sales assistant,52202,2237.0,26844.0,1.0
52422,Salesperson (door-to-door),Salesperson (door-to-door),52422,6667.0,80004.0,1.0
52440,Telemarketer,Telemarketer,52440,3000.0,36000.0,1.0
53120,Teacher aide,Teacher aide,53120,2700.0,32400.0,1.0
54123,Auxiliary police officer,Auxiliary police officer,54123,3192.0,38304.0,1.0
54144,Private security officer,Private security officer,54144,2650.0,31800.0,1.0
54150,Lifeguard,Lifeguard,54150,2780.0,33360.0,1.0
61133,Gardener and horticultural worker,Gardener/Horticultural worker,61133,1733.0,20796.0,0.8709677419354839
61220,Aquarium fish farm worker,Poultry farm worker,62212,3165.0,37980.0,0.6363636363636364
71000,Supervisor/General foreman (building and related trades),Supervisor/General foreman (building and related trades),71000,3040.0,36480.0,1.0
71152,Joiner,Joiner,71152,1600.0,19200.0,1.0
71220,Floor/Wall tiler,Floor/Wall tiler,71220,1600.0,19200.0,1.0
71250,Waiter,Glazier,51312,1417.0,17004.0,0.6153846153846154
71272,Air-conditioning/Refrigeration plant installer,Air-conditioning/Refrigeration plant installer,71272,2000.0,24000.0,1.0
72000,"Supervisor/General foreman (metal, machinery and related trades)",Supervisor/General foreman (metal/machinery and related trades),72000,2792.0,33504.0,0.8346456692913385
72110,Metal moulder and coremaker,Metal moulder/coremaker,72110,2550.0,30600.0,0.64
72120,Welder and flame cutter,Welder/Flame cutter,72120,2500.0,30000.0,0.6666666666666667
72310,Automotive mechanic,Automotive mechanic,72310,2609.0,31308.0,1.0
72390,Machinery mechanic,Machinery mechanic/fitter/repairer n.e.c.,72391,2800.0,33600.0,0.6101694915254237
73210,Pre-press trades worker,Pre-press trades worker,73210,2945.0,35340.0,1.0
73220,Carpenter,Printer,71151,2070.0,24840.0,0.625
74002,"Supervisor/General foreman (electrical and electronic trades, excluding lift)","Supervisor/General foreman (electrical/electronic trades, excluding lift)",74002,3500.0,42000.0,0.8266666666666667
74110,Electrician,Electrician,74110,3000.0,36000.0,1.0
74123,Electrical household appliance repairer,Electrical household appliance repairer,74123,2404.0,28848.0,1.0
75000,"Supervisor/General foreman (food processing, woodworking, garment, leather and related trades)",Supervisor/General foreman (food processing/woodworking/garment/leather,75000,3100.0,37200.0,0.6545454545454545
75110,"Butcher, fishmonger and related food preparer",Butcher/Fishmonger and related food preparer,75110,2562.0,30744.0,0.8539325842696628
75122,Pastry and confectionery maker,Pastry/Confectionery maker,75122,1610.0,19320.0,0.8571428571428572
75210,Fast food preparer,Wood treater,94103,1360.0,16320.0,0.6
75310,Tailor/Dressmaker,Tailor/Dressmaker,75310,1816.0,21792.0,1.0
75410,Underwater diver,Underwater diver,75410,5430.0,65160.0,1.0
75440,Fumigator and other pest and weed controller,Fumigator and related pest/weed controller,75440,2040.0,24480.0,0.7674418604651163
81000,Stationary plant and machine supervisor/general foreman,Stationary plant/machine supervisor/general foreman,81000,4000.0,48000.0,0.8490566037735848
81210,"Metal melter, caster and rolling mill operator",Metal melter/caster/rolling mill operator,81210,2498.0,29976.0,0.6206896551724138
81220,Metal heat treating plant operator,Metal heat treating plant operator,81220,2867.0,34404.0,1.0
81259,Metalworking machine setter-operator,Machine-tool setter-operator n.e.c.,81251,2438.0,29256.0,0.6478873239436621
81312,Dairy and confectionery products machine operator,Pharmaceutical products machine operator,81602,1770.0,21240.0,0.7415730337078652
81410,Sewing machine operator,Rubber products machine operator,81501,1738.0,20856.0,0.6545454545454545
81830,Packing/Bottling/Labelling machine operator,Packing/Bottling/Labelling machine operator,81830,1430.0,17160.0,1.0
81849,Precision grinding machine setter-operator,Printing/Binding and related machine operator n.e.c.,81252,2481.0,29772.0,0.6382978723404256
82000,Supervisor/General foreman of assemblers and quality checkers,Supervisor/General foreman of assemblers/quality checkers,82000,3400.0,40800.0,0.8305084745762712
82110,Mechanical equipment/component assembler,Mechanical equipment/component assembler,82110,1600.0,19200.0,1.0
83000,Mobile machinery supervisor and general foreman,Mobile machinery supervisor/general foreman,83000,3734.0,44808.0,0.7777777777777779
83110,Train operator,Train operator,83110,2124.0,25488.0,1.0
83120,Oil and bunker trader,Railway braker and related worker,24352,13750.0,165000.0,0.6296296296296297
83212,Delivery man using motorised personal mobility aids/devices,Delivery worker using motorised personal mobility aids/devices,83212,2000.0,24000.0,0.9090909090909091
83312,Van driver,Tram driver,83223,1900.0,22800.0,0.7619047619047619
83449,Fork lift truck operator,Lifting truck operator n.e.c.,83441,1978.0,23736.0,0.679245283018868
91000,Cleaning supervisor,Cleaning supervisor,91000,2455.0,29460.0,1.0
91133,"Office, commercial and industrial establishments indoor cleaner",Office/Commercial/Industrial establishment multi-skilled cleaner cum machine,91131,1740.0,20880.0,0.60431654676259
91154,"Office, commercial and industrial establishments multi-skilled cleaner cum machine operator",Food and beverage establishment multi-skilled cleaner cum machine operator,91133,1792.0,21504.0,0.7393939393939394
91162,Residential and open areas general cleaner,Residential/Open areas multi-skilled cleaner cum machine operator,91161,1600.0,19200.0,0.6355140186915889
91210,Hand launderer/presser (non-household),Hand launderer/presser (non-household),91210,1500.0,18000.0,1.0
91220,Motor vehicle cleaner/polisher,Motor vehicle cleaner/polisher,91220,1600.0,19200.0,1.0
91230,Hotel cleaner,Window cleaner,91122,1762.0,21144.0,0.6666666666666667
93100,Civil engineering/Building construction labourer,Civil engineering/Building construction labourer,93100,1600.0,19200.0,1.0
94104,"Tea server/steward (excluding bartender, barista and food/drink stall assistant)","Tea server/steward (excluding bartender, barista and food/drink stall assistant)",94104,1600.0,19200.0,1.0
96213,Porter (except hotel),Porter (excluding hotel),96213,1536.0,18432.0,0.8
96252,Laboratory attendant,Laboratory attendant,96252,2800.0,33600.0,1.0
96269,Building maintenance worker,Building caretaker and related worker n.e.c.,71331,2800.0,33600.0,0.6478873239436621
96272,Concierge (hotel),Concierge (hotel),96272,2777.0,33324.0,1.0
